doc_title,para_num,term_str,n
ASHPUTTEL,3,time,1
ASHPUTTEL,3,to,14
ASHPUTTEL,3,told,1
ASHPUTTEL,3,too,1
ASHPUTTEL,3,two,2
ASHPUTTEL,3,up,1
ASHPUTTEL,3,us,1
ASHPUTTEL,3,very,1
ASHPUTTEL,3,want,1
ASHPUTTEL,3,was,4
ASHPUTTEL,3,we,1
ASHPUTTEL,3,wear,1
ASHPUTTEL,3,were,1
ASHPUTTEL,3,when,2
ASHPUTTEL,3,which,1
ASHPUTTEL,3,who,3
ASHPUTTEL,3,will,1
ASHPUTTEL,3,with,1
ASHPUTTEL,3,you,5
ASHPUTTEL,4,among,1
ASHPUTTEL,4,and,1
ASHPUTTEL,4,ashes,1
ASHPUTTEL,4,at,1
ASHPUTTEL,4,back,1
ASHPUTTEL,4,but,1
ASHPUTTEL,4,cried,1
ASHPUTTEL,4,door,1
ASHPUTTEL,4,down,1
ASHPUTTEL,4,garden,1
ASHPUTTEL,4,into,1
ASHPUTTEL,4,little,1
ASHPUTTEL,4,maiden,1
ASHPUTTEL,4,out,2
ASHPUTTEL,4,peas,1
ASHPUTTEL,4,ran,1
ASHPUTTEL,4,she,1
ASHPUTTEL,4,the,5
ASHPUTTEL,4,then,1
ASHPUTTEL,4,threw,1
ASHPUTTEL,5,all,1
ASHPUTTEL,5,and,3
ASHPUTTEL,5,away,1
ASHPUTTEL,5,blackbird,1
ASHPUTTEL,5,chaffinch,1
ASHPUTTEL,5,come,1
ASHPUTTEL,5,fly,1
ASHPUTTEL,5,gay,1
ASHPUTTEL,5,haste,3
ASHPUTTEL,5,help,1
ASHPUTTEL,5,hither,4
ASHPUTTEL,5,linnets,1
ASHPUTTEL,5,me,1
ASHPUTTEL,5,one,1
ASHPUTTEL,5,pick,3
ASHPUTTEL,5,quick,1
ASHPUTTEL,5,sky,1
ASHPUTTEL,5,the,1
ASHPUTTEL,5,through,1
ASHPUTTEL,5,thrush,1
ASHPUTTEL,5,turtledoves,1
ASHPUTTEL,5,ye,2
ASHPUTTEL,6,a,1
ASHPUTTEL,6,after,1
ASHPUTTEL,6,again,1
ASHPUTTEL,6,all,4
ASHPUTTEL,6,among,1
ASHPUTTEL,6,and,9
ASHPUTTEL,6,ashes,2
ASHPUTTEL,6,at,2
ASHPUTTEL,6,before,1
ASHPUTTEL,6,began,1
ASHPUTTEL,6,birds,1
ASHPUTTEL,6,but,1
ASHPUTTEL,6,came,3
ASHPUTTEL,6,chirping,1
ASHPUTTEL,6,dish,1
ASHPUTTEL,6,done,1
ASHPUTTEL,6,doves,2
ASHPUTTEL,6,down,2
ASHPUTTEL,6,end,1
ASHPUTTEL,6,first,1
ASHPUTTEL,6,flew,2
ASHPUTTEL,6,fluttering,1
ASHPUTTEL,6,flying,1
ASHPUTTEL,6,good,1
ASHPUTTEL,6,grain,1
ASHPUTTEL,6,heads,1
ASHPUTTEL,6,heaven,1
ASHPUTTEL,6,hour,1
ASHPUTTEL,6,in,2
ASHPUTTEL,6,into,2
ASHPUTTEL,6,it,1
ASHPUTTEL,6,kitchen,1
ASHPUTTEL,6,left,1
ASHPUTTEL,6,little,2
ASHPUTTEL,6,long,1
ASHPUTTEL,6,next,1
ASHPUTTEL,6,of,1
ASHPUTTEL,6,others,1
ASHPUTTEL,6,out,2
ASHPUTTEL,6,pick,6
ASHPUTTEL,6,picked,1
ASHPUTTEL,6,put,1
ASHPUTTEL,6,quite,1
ASHPUTTEL,6,set,1
ASHPUTTEL,6,soon,1
ASHPUTTEL,6,stooped,1
ASHPUTTEL,6,the,11
ASHPUTTEL,6,their,1
ASHPUTTEL,6,them,2
ASHPUTTEL,6,then,2
ASHPUTTEL,6,they,2
ASHPUTTEL,6,to,2
ASHPUTTEL,6,turtledoves,1
ASHPUTTEL,6,two,2
ASHPUTTEL,6,under,1
ASHPUTTEL,6,was,1
ASHPUTTEL,6,white,1
ASHPUTTEL,6,window,1
ASHPUTTEL,6,windows,1
ASHPUTTEL,6,work,2
ASHPUTTEL,7,and,3
ASHPUTTEL,7,ashes,2
ASHPUTTEL,7,ashputtel,2
ASHPUTTEL,7,at,2
ASHPUTTEL,7,ball,1
ASHPUTTEL,7,begged,1
ASHPUTTEL,7,brought,1
ASHPUTTEL,7,but,1
ASHPUTTEL,7,can,2
ASHPUTTEL,7,clothes,1
ASHPUTTEL,7,dance,1
ASHPUTTEL,7,dish,1
