term_str,n,p,i,n_chars,max_pos_group,max_pos,porter_stem,stop,df,idf,tfidf_mean,dfidf,dp,di,dh,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
come,188,0.001860538764523,9.070063835180605,4,VB,VB,come,0,53,0.226275855823676,0.0004063004671223,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
day,185,0.001830849316153,9.09327122634193,3,NN,NN,day,0,51,0.2817709684153795,0.0005409141853267,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
saw,183,0.001811056350573,9.1089528485742,3,VB,VBD,saw,0,53,0.226275855823676,0.0004091095740679,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
father,183,0.001811056350573,9.1089528485742,6,NN,NN,father,0,29,1.096215315259303,0.0017263611363282,31.79024414251979,0.4677419354838709,1.0962153152593033,0.5127458732664483,,,,,,,,,,,
how,180,0.0017813669022029,9.132799590528569,3,WR,WRB,how,1,48,0.3692338096657191,0.0006529585175203,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
home,180,0.0017813669022029,9.132799590528569,4,NN,NN,home,0,50,0.3103401206121505,0.0005509177246977,15.517006030607524,0.8064516129032258,0.3103401206121505,0.2502742908162503,,,,,,,,,,,
before,175,0.0017318844882528,9.173441575025912,6,IN,IN,befor,1,53,0.226275855823676,0.0003616371631282,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
should,172,0.0017021950398828,9.198387932156145,6,MD,MD,should,1,51,0.2817709684153795,0.0005085173423106,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
himself,171,0.0016922985570928,9.206800171972343,7,PR,PRP,himself,1,45,0.4623432140572004,0.0007060446862219,20.80544463257402,0.7258064516129032,0.4623432140572004,0.3355716876221616,,,,,,,,,,,
about,170,0.0016824020743027,9.21526175072054,5,IN,IN,about,1,48,0.3692338096657191,0.0005715230948927,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
shall,169,0.0016725055915127,9.223773250576055,5,MD,MD,shall,0,46,0.4306343543298623,0.0006597574532612,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,,,,,,,,,,,
take,169,0.0016725055915127,9.223773250576055,4,VB,VB,take,0,47,0.3996074587092377,0.0006275393720732,18.781550559334175,0.7580645161290323,0.3996074587092377,0.3029282348279705,,,,,,,,,,,
must,166,0.0016428161431427,9.249613255511315,4,MD,MD,must,0,49,0.339486466271667,0.000517623375899,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
thought,166,0.0016428161431427,9.249613255511315,7,VB,VBD,thought,0,48,0.3692338096657191,0.0005725600014504,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
where,165,0.0016329196603527,9.258330472612425,5,WR,WRB,where,1,48,0.3692338096657191,0.0006268148652808,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
well,164,0.0016230231775626,9.267100682240155,4,RB,RB,well,0,49,0.339486466271667,0.0005558881327676,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
let,158,0.0015636442808225,9.32087193868114,3,VB,VB,let,0,51,0.2817709684153795,0.0004601471082335,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
soon,157,0.0015537477980325,9.330031937966616,4,RB,RB,soon,0,50,0.3103401206121505,0.0004825661003646,15.517006030607524,0.8064516129032258,0.3103401206121505,0.2502742908162503,,,,,,,,,,,
see,155,0.0015339548324525,9.348528281584004,3,VB,VB,see,0,48,0.3692338096657191,0.0005189654779393,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
cried,153,0.0015141618668725,9.36726484416559,5,VB,VBD,cri,0,46,0.4306343543298623,0.0006613904851089,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,,,,,,,,,,,
mother,152,0.0015042653840824,9.376725173414656,6,NN,NN,mother,0,25,1.3103401206121503,0.0018784790790799,32.758503015303766,0.4032258064516129,1.3103401206121503,0.5283629518597381,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
great,152,0.0015042653840824,9.376725173414656,5,JJ,JJ,great,0,44,0.494764691749578,0.0006350878013843,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
back,152,0.0015042653840824,9.376725173414656,4,RB,RB,back,0,49,0.339486466271667,0.0004563783498122,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
am,151,0.0014943689012924,9.386247947533162,2,VB,VBP,am,1,44,0.494764691749578,0.0008038361005249,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
wife,150,0.0014844724185024,9.39583399636236,4,NN,NN,wife,0,33,0.909802191028422,0.0014043729021986,30.02347230393792,0.532258064516129,0.909802191028422,0.4842495532893213,,,,,,,,,,,
give,148,0.0014646794529224,9.415199321229291,4,VB,VB,give,0,42,0.561878887608115,0.0007735634457752,23.59891327954083,0.6774193548387096,0.561878887608115,0.3806276335409811,,,,,,,,,,,
last,147,0.0014547829701324,9.424980342021875,4,JJ,JJ,last,0,48,0.3692338096657191,0.0005498477856052,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
way,146,0.0014448864873423,9.434828127978223,3,NN,NN,way,0,49,0.339486466271667,0.0004809475004186,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
over,146,0.0014448864873423,9.434828127978223,4,IN,IN,over,1,46,0.4306343543298623,0.0005578488467818,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,,,,,,,,,,,
long,146,0.0014448864873423,9.434828127978223,4,RB,RB,long,0,49,0.339486466271667,0.0004952606849521,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
once,145,0.0014349900045523,9.444743596843306,4,RB,RB,onc,1,55,0.1728365968622155,0.0002796370379463,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
two,144,0.0014250935217623,9.454727685415929,3,CD,CD,two,0,40,0.632268215499513,0.0009138747956,25.29072861998052,0.6451612903225806,0.632268215499513,0.4079149777416213,,,,,,,,,,,
been,144,0.0014250935217623,9.454727685415929,4,VB,VBN,been,1,48,0.3692338096657191,0.0005938736762091,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
after,144,0.0014250935217623,9.454727685415929,5,IN,IN,after,1,51,0.2817709684153795,0.0004039800954005,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
more,142,0.0014053005561823,9.47490556735356,4,JJ,JJR,more,1,44,0.494764691749578,0.0006545436299911,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
some,138,0.0013657146250222,9.516128230080072,4,DT,DT,some,1,51,0.2817709684153795,0.0004290739701294,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
put,135,0.0013360251766522,9.54783708980741,3,VB,VBD,put,0,44,0.494764691749578,0.0006199025916742,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
an,133,0.0013162322110721,9.569370251357052,2,DT,DT,an,1,51,0.2817709684153795,0.0003835597320186,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
door,132,0.0013063357282821,9.580258567499788,4,NN,NN,door,0,39,0.6687940915246268,0.0009792831019059,26.082969569460445,0.6290322580645161,0.6687940915246268,0.4206930575719426,,,,,,,,,,,
has,131,0.0012964392454921,9.59122968532079,3,VB,VBZ,ha,1,45,0.4623432140572004,0.0007293546007698,20.80544463257402,0.7258064516129032,0.4623432140572004,0.3355716876221616,,,,,,,,,,,
fell,130,0.0012865427627021,9.602284873829786,4,VB,VBD,fell,0,46,0.4306343543298623,0.0005093545537914,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
other,130,0.0012865427627021,9.602284873829786,5,JJ,JJ,other,1,48,0.3692338096657191,0.0005074845181242,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
asked,128,0.0012667497971221,9.62465268685824,5,VB,VBD,ask,0,45,0.4623432140572004,0.0005867956086749,20.80544463257402,0.7258064516129032,0.4623432140572004,0.3355716876221616,,,,,,,,,,,
still,127,0.001256853314332,9.635968000086075,5,RB,RB,still,0,44,0.494764691749578,0.0005951307789462,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
or,126,0.001246956831542,9.647372763358325,2,CC,CC,or,1,47,0.3996074587092377,0.0005295878372799,18.781550559334175,0.7580645161290323,0.3996074587092377,0.3029282348279705,,,,,,,,,,,
sat,125,0.001237060348752,9.658868402196154,3,VB,VBD,sat,0,48,0.3692338096657191,0.0004971223950881,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
till,125,0.001237060348752,9.658868402196154,4,NN,NN,till,0,42,0.561878887608115,0.0006878688186482,23.59891327954083,0.6774193548387096,0.561878887608115,0.3806276335409811,,,,,,,,,,,
like,125,0.001237060348752,9.658868402196154,4,IN,IN,like,0,41,0.5966443057687916,0.000735723000843,24.462416536520458,0.6612903225806451,0.5966443057687916,0.3945551054277492,,,,,,,,,,,
beautiful,123,0.001217267383172,9.682138181519,9,JJ,JJ,beauti,0,34,0.8667334691365358,0.0009224960531029,29.468937950642218,0.5483870967741935,0.8667334691365359,0.4753054508168099,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
nothing,123,0.001217267383172,9.682138181519,7,NN,NN,noth,0,46,0.4306343543298623,0.0005773425737888,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,,,,,,,,,,,
get,122,0.001207370900382,9.693915349295354,3,VB,VB,get,0,44,0.494764691749578,0.0005597036256281,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
however,121,0.0011974744175919,9.705789449583646,7,RB,RB,howev,0,47,0.3996074587092377,0.0004532657587889,18.781550559334175,0.7580645161290323,0.3996074587092377,0.3029282348279705,,,,,,,,,,,
found,119,0.0011776814520119,9.729834923550298,5,VB,VBD,found,0,40,0.632268215499513,0.000700061569545,25.29072861998052,0.6451612903225806,0.632268215499513,0.4079149777416213,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
hans,119,0.0011776814520119,9.729834923550298,4,NN,NNPS,han,0,4,3.9541963103868754,0.006483730476802,15.8167852415475,0.064516129032258,3.9541963103868754,0.2551094393797984,,,,,,,,,,,
ran,119,0.0011776814520119,9.729834923550298,3,VB,VBD,ran,0,41,0.5966443057687916,0.0006555564751256,24.462416536520458,0.6612903225806451,0.5966443057687916,0.3945551054277492,,,,,,,,,,,
made,118,0.0011677849692219,9.7420096374964,4,VB,VBD,made,0,43,0.5279315556847771,0.0005937284864751,22.701056894445415,0.6935483870967742,0.5279315556847771,0.366146078942668,,,,,,,,,,,
bird,117,0.0011578884864319,9.754287967274838,4,NN,NN,bird,0,19,1.7062687969432897,0.0018100683862444,32.4191071419225,0.3064516129032258,1.7062687969432897,0.5228888248697178,,,,,,,,,,,
only,117,0.0011578884864319,9.754287967274838,4,RB,RB,onli,1,49,0.339486466271667,0.0003936970815557,16.634836847311686,0.7903225806451613,0.339486466271667,0.2683038201179304,,,,,,,,,,,
began,117,0.0011578884864319,9.754287967274838,5,VB,VBD,began,0,48,0.3692338096657191,0.0004715041656094,17.72322286395452,0.7741935483870968,0.3692338096657191,0.285858433289589,,,,,,,,,,,
