line_num,line_str,doc_id
459,"just came from, the squire has had a pig stolen out of his sty. I was",2
460,dreadfully afraid when I saw you that you had got the squire’s pig. If,2
461,"you have, and they catch you, it will be a bad job for you. The least",2
462,they will do will be to throw you into the horse-pond. Can you swim?’,2
463,,2
464,"Poor Hans was sadly frightened. ‘Good man,’ cried he, ‘pray get me out",2
465,of this scrape. I know nothing of where the pig was either bred or born;,2
466,but he may have been the squire’s for aught I can tell: you know this,2
467,"country better than I do, take my pig and give me the goose.’ ‘I ought",2
468,"to have something into the bargain,’ said the countryman; ‘give a fat",2
469,"goose for a pig, indeed! ‘Tis not everyone would do so much for you as",2
470,"that. However, I will not be hard upon you, as you are in trouble.’ Then",2
471,"he took the string in his hand, and drove off the pig by a side path;",2
472,"while Hans went on the way homewards free from care. ‘After all,’",2
473,"thought he, ‘that chap is pretty well taken in. I don’t care whose pig",2
474,"it is, but wherever it came from it has been a very good friend to me. I",2
475,have much the best of the bargain. First there will be a capital roast;,2
476,then the fat will find me in goose-grease for six months; and then there,2
477,"are all the beautiful white feathers. I will put them into my pillow,",2
478,and then I am sure I shall sleep soundly without rocking. How happy my,2
479,"mother will be! Talk of a pig, indeed! Give me a fine fat goose.’",2
480,,2
481,"As he came to the next village, he saw a scissor-grinder with his wheel,",2
482,"working and singing,",2
483,,2
484,‘O’er hill and o’er dale,2
485,"So happy I roam,",2
486,"Work light and live well,",2
487,All the world is my home;,2
488,"Then who so blythe, so merry as I?’",2
489,,2
490,"Hans stood looking on for a while, and at last said, ‘You must be well",2
491,"off, master grinder! you seem so happy at your work.’ ‘Yes,’ said the",2
492,"other, ‘mine is a golden trade; a good grinder never puts his hand",2
493,into his pocket without finding money in it--but where did you get that,2
494,"beautiful goose?’ ‘I did not buy it, I gave a pig for it.’ ‘And where",2
495,did you get the pig?’ ‘I gave a cow for it.’ ‘And the cow?’ ‘I gave a,2
496,horse for it.’ ‘And the horse?’ ‘I gave a lump of silver as big as my,2
497,head for it.’ ‘And the silver?’ ‘Oh! I worked hard for that seven long,2
498,"years.’ ‘You have thriven well in the world hitherto,’ said the grinder,",2
499,‘now if you could find money in your pocket whenever you put your hand,2
500,"in it, your fortune would be made.’ ‘Very true: but how is that to be",2
501,"managed?’ ‘How? Why, you must turn grinder like myself,’ said the other;",2
502,‘you only want a grindstone; the rest will come of itself. Here is one,2
503,that is but little the worse for wear: I would not ask more than the,2
504,value of your goose for it--will you buy?’ ‘How can you ask?’ said,2
505,"Hans; ‘I should be the happiest man in the world, if I could have money",2
506,whenever I put my hand in my pocket: what could I want more? there’s,2
507,"the goose.’ ‘Now,’ said the grinder, as he gave him a common rough stone",2
508,"that lay by his side, ‘this is a most capital stone; do but work it well",2
509,"enough, and you can make an old nail cut with it.’",2
510,,2
511,"Hans took the stone, and went his way with a light heart: his eyes",2
512,"sparkled for joy, and he said to himself, ‘Surely I must have been born",2
513,in a lucky hour; everything I could want or wish for comes of itself.,2
514,People are so kind; they seem really to think I do them a favour in,2
515,"letting them make me rich, and giving me good bargains.’",2
516,,2
517,"Meantime he began to be tired, and hungry too, for he had given away his",2
518,last penny in his joy at getting the cow.,2
519,,2
520,"At last he could go no farther, for the stone tired him sadly: and he",2
521,"dragged himself to the side of a river, that he might take a drink of",2
522,"water, and rest a while. So he laid the stone carefully by his side on",2
523,"the bank: but, as he stooped down to drink, he forgot it, pushed it a",2
524,"little, and down it rolled, plump into the stream.",2
525,,2
526,For a while he watched it sinking in the deep clear water; then sprang,2
527,"up and danced for joy, and again fell upon his knees and thanked Heaven,",2
528,"with tears in his eyes, for its kindness in taking away his only plague,",2
529,the ugly heavy stone.,2
530,,2
531,‘How happy am I!’ cried he; ‘nobody was ever so lucky as I.’ Then up he,2
532,"got with a light heart, free from all his troubles, and walked on till",2
533,"he reached his mother’s house, and told her how very easy the road to",2
534,good luck was.,2
535,,2
536,,2
537,,2
538,,2
540,,3
541,,3
542,"There was once an old castle, that stood in the middle of a deep gloomy",3
543,"wood, and in the castle lived an old fairy. Now this fairy could take",3
544,any shape she pleased. All the day long she flew about in the form of,3
545,"an owl, or crept about the country like a cat; but at night she always",3
546,became an old woman again. When any young man came within a hundred,3
547,"paces of her castle, he became quite fixed, and could not move a step",3
548,till she came and set him free; which she would not do till he had given,3
549,her his word never to come there again: but when any pretty maiden came,3
550,"within that space she was changed into a bird, and the fairy put her",3
551,"into a cage, and hung her up in a chamber in the castle. There were",3
552,"seven hundred of these cages hanging in the castle, and all with",3
553,beautiful birds in them.,3
554,,3
555,Now there was once a maiden whose name was Jorinda. She was prettier,3
556,"than all the pretty girls that ever were seen before, and a shepherd",3
557,"lad, whose name was Jorindel, was very fond of her, and they were soon",3
558,"to be married. One day they went to walk in the wood, that they might be",3
559,"alone; and Jorindel said, ‘We must take care that we don’t go too near",3
560,to the fairy’s castle.’ It was a beautiful evening; the last rays of the,3
561,setting sun shone bright through the long stems of the trees upon,3
562,"the green underwood beneath, and the turtle-doves sang from the tall",3
563,birches.,3
564,,3
565,Jorinda sat down to gaze upon the sun; Jorindel sat by her side; and,3
566,"both felt sad, they knew not why; but it seemed as if they were to be",3
567,parted from one another for ever. They had wandered a long way; and when,3
568,"they looked to see which way they should go home, they found themselves",3
569,at a loss to know what path to take.,3
570,,3
571,"The sun was setting fast, and already half of its circle had sunk behind",3
572,"the hill: Jorindel on a sudden looked behind him, and saw through the",3
573,"bushes that they had, without knowing it, sat down close under the old",3
574,"walls of the castle. Then he shrank for fear, turned pale, and trembled.",3
575,"Jorinda was just singing,",3
576,,3
577,"‘The ring-dove sang from the willow spray,",3
578,Well-a-day! Well-a-day!,3
579,"He mourn’d for the fate of his darling mate,",3
580,Well-a-day!’,3
581,,3
582,"when her song stopped suddenly. Jorindel turned to see the reason, and",3
583,"beheld his Jorinda changed into a nightingale, so that her song ended",3
584,"with a mournful _jug, jug_. An owl with fiery eyes flew three times",3
585,"round them, and three times screamed:",3
586,,3
587,‘Tu whu! Tu whu! Tu whu!’,3
588,,3
589,"Jorindel could not move; he stood fixed as a stone, and could neither",3
