term_str,PC0,PC1,PC2,PC3,PC4
alas,-0.0038648889510639484,-0.0017360163719825107,-0.004614580326454023,0.009748355625980207,-0.011410843515373746
looking,-0.0026486497686522286,0.004801413619049691,-0.000294146275202,-0.0010570166390265479,-0.00022680792255467015
fall,-0.0053133054660270025,0.0009305627260931587,0.0034267241404775653,0.001560216404764866,0.0018679260126817118
black,-0.005512317472444478,0.0022686083500789915,0.002894139947136822,-0.0021019401167035314,0.004769137615605908
large,-0.0020821823837130315,0.004077796452522195,0.0025589704324185322,0.0023829962432826974,-0.0018357942049870735
ground,-0.005412446716730785,0.0030802567234787487,-0.0010035797160399269,-0.0038835020034479134,0.0007797104049291511
thee,-0.0101973376223431,-0.007470651596940222,-0.008544792984622683,0.021984349164485984,-0.008183632071829402
miller,-0.0023447780801867067,0.022988966153395678,-0.015481960279204622,-0.014128177498143931,0.010555070344383813
ready,-0.0035592061994612883,-0.0014083469376999916,-0.004414253220218203,0.0010512336349140408,-0.004068166342739989
things,-0.0036779967713034827,-0.00013821522027415904,-0.0048217638083376075,0.0018138045759522933,0.00255330255473873
already,-0.0024260338577657553,-0.0013132091500527015,0.002325914177559644,-0.007935227609237734,-0.00024242698717191652
lady,-0.007352755967683186,-0.0017841771894411647,-0.0031394255898627263,-0.0007930859478293427,0.008887807198056645
court,-0.008595376658538564,-0.012066908513468127,0.0034644775055948074,0.004108267389425175,-0.002858019086792855
drew,-0.003526145567843771,0.0008611000344662574,0.00018110348202824447,-0.00018279873078108397,-0.003098329397089847
opened,0.0005389364283535161,-0.0014798302628709855,0.0026436391219260918,-0.0020547721086333556,0.0011810948030667135
