doc_title,chunk_id,T0,T1,T2,T3,T4
HANS IN LUCK,7,0.13895945149600294,0.1286686250026071,0.23487001863740803,0.4878514146654651,0.0096504901985167
HANS IN LUCK,8,0.011347812606924447,0.011342861986956998,0.3420880476273478,0.6237809921098308,0.011440285668939948
HANS IN LUCK,9,0.01440637254416916,0.014356908460583424,0.7028415805418124,0.25392431545382577,0.014470822999609192
HANS IN LUCK,10,0.011241235580315194,0.011372112879588142,0.011331436303908411,0.21385052447900185,0.7522046907571865
HANS IN LUCK,11,0.011981389605286743,0.01206259709221325,0.7051807540034923,0.2585511692556861,0.012224090043321496
HANS IN LUCK,12,0.009208129668350006,0.00928608384219098,0.8180455273314556,0.15418278851261222,0.009277470645391167
HANS IN LUCK,13,0.3577936274542801,0.010111058410279353,0.32382589998529515,0.2980196568716041,0.01024975727854124
HANS IN LUCK,14,0.008197942697388822,0.008172839912017272,0.148702813967565,0.5282343196504629,0.3066920837725661
HANS IN LUCK,15,0.011428473891545022,0.6573666335180673,0.011447500623888699,0.011690883227416038,0.30806650873908287
HANS IN LUCK,16,0.011406158438758881,0.33559255262354815,0.5172199518049059,0.12445872633794655,0.011322610794840605
HANS IN LUCK,17,0.010155126221653541,0.6225225362565151,0.010287596131646141,0.14796028906520692,0.20907445232497818
HANSEL AND GRETEL,0,0.8238328539851106,0.1484424458942051,0.009232663942207377,0.009275884647100269,0.00921615153137649
HANSEL AND GRETEL,1,0.9610569920662654,0.009758431531739574,0.00985017011221311,0.009661108116654415,0.009673298173127488
HANSEL AND GRETEL,2,0.9675146477264912,0.008175362849612006,0.008046130935208744,0.008156155605656183,0.008107702883031776
HANSEL AND GRETEL,3,0.9675403545478993,0.008177430746437233,0.008081067932419327,0.008134252907295025,0.008066893865949153
HANSEL AND GRETEL,4,0.7565664763772902,0.00852108237000318,0.008600009467805229,0.2179100103378296,0.008402421447071796
HANSEL AND GRETEL,5,0.9645607812569083,0.008938116223437051,0.008954314640036841,0.008804639986428487,0.0087421478931893
HANSEL AND GRETEL,6,0.9675371314182708,0.0081863641503258,0.00810369572710566,0.00811103401069291,0.00806177469360489
HANSEL AND GRETEL,7,0.4916106799510943,0.22629990616017742,0.010285347844552966,0.26148227695667764,0.01032178908749771
HANSEL AND GRETEL,8,0.9663206539015586,0.008417836430235236,0.008420460003604373,0.008444157820512213,0.008396891844089588
HANSEL AND GRETEL,9,0.9646072386559814,0.008824358977629003,0.008879437906791732,0.00893347895599921,0.008755485503598521
HANSEL AND GRETEL,10,0.9663387027758797,0.00836856258797235,0.008399344610443494,0.008489370732674148,0.0084040192930304
HANSEL AND GRETEL,11,0.9610823275536288,0.009775786079106008,0.009905763228519134,0.009631169619168541,0.00960495351957751
HANSEL AND GRETEL,12,0.9570889409800705,0.010983449209539383,0.010682942198597535,0.010695711216749348,0.010548956395043432
HANSEL AND GRETEL,13,0.9662019020628378,0.008471418431469436,0.008406716557735951,0.008559851229668071,0.008360111718288639
HANSEL AND GRETEL,14,0.9656191383844349,0.008492581839697096,0.008731240534334425,0.008684331627817371,0.008472707613716154
HANSEL AND GRETEL,15,0.9448580213484007,0.013682641509588936,0.01408742520280528,0.013648825508659923,0.013723086430545185
HANSEL AND GRETEL,16,0.9587759541681993,0.010157573228754418,0.010415829645600571,0.010414327876931749,0.010236315080513921
HANSEL AND GRETEL,17,0.9547317430088367,0.011369443464382853,0.011290512815441363,0.01130250121529327,0.011305799496045855
HANSEL AND GRETEL,18,0.9460611631595401,0.013433920965510231,0.013446108906799953,0.01358980960273148,0.013468997365418187
HANSEL AND GRETEL,19,0.9672124859842882,0.008315495597201863,0.00817012559314093,0.008133453503786213,0.008168439321582606
HANSEL AND GRETEL,20,0.9647862295648729,0.008725203679201763,0.008791073076090134,0.008796279421413472,0.008901214258421752
HANSEL AND GRETEL,21,0.9645043999973388,0.008908566050693201,0.008834585259111039,0.008874269622385356,0.008878179070471651
HANSEL AND GRETEL,22,0.3056003470934525,0.01280739488293358,0.012943579958454281,0.2694599936383118,0.3991886844268478
IRON HANS,0,0.011314222925207956,0.25299324385737704,0.7130828923755816,0.011294831184263152,0.011314809657570027
IRON HANS,1,0.011305436342945775,0.8157733438463507,0.15020709047121322,0.011425079904649449,0.011289049434840787
IRON HANS,2,0.007594679657388184,0.9695861601273712,0.007583775987408867,0.007532099272146212,0.0077032849556856
IRON HANS,3,0.007938488198318492,0.968610051663944,0.007823287426686077,0.007788058209445241,0.007840114501606196
IRON HANS,4,0.16675038608509118,0.8054013406830863,0.009361715968729098,0.009257276349302079,0.009229280913791217
IRON HANS,5,0.4252685174371434,0.5456179218574403,0.009698428199133677,0.00968029914510735,0.00973483336117534
IRON HANS,6,0.38827772217750706,0.297838607650654,0.010164028386801253,0.2934348048952253,0.010284836889812398
IRON HANS,7,0.009674749368806529,0.5285318755198498,0.009629711954769844,0.44238317255846676,0.009780490598107143
IRON HANS,8,0.012731158829675846,0.5318849934677234,0.012823919224182086,0.26058377225714247,0.18197615622127614
IRON HANS,9,0.009793335661233919,0.7936219098461629,0.00962558220433467,0.009787005472905327,0.17717216681536338
IRON HANS,10,0.009251602246972546,0.24224210087084672,0.009335444043338212,0.08076994106629375,0.6584009117725487
